distrito,ano,dim_4_t,valor
Coimbra,2023,60 - 64 anos,30352
Coimbra,2023,65 - 69 anos,28757
Coimbra,2023,70 - 74 anos,27352
Coimbra,2023,75 - 79 anos,23534
Coimbra,2023,80 - 84 anos,17621
Coimbra,2023,85 e mais anos,19921
Coimbra,2023,Total,432073
Coimbra,2023,0 - 4 anos,14483
Coimbra,2023,5 - 9 anos,17124
Coimbra,2023,10 - 14 anos,17889
Coimbra,2023,15 - 19 anos,19807
Coimbra,2023,20 - 24 anos,23030
Coimbra,2023,25 - 29 anos,23321
Coimbra,2024,30 - 34 anos,23328
Coimbra,2024,35 - 39 anos,24233
Coimbra,2024,40 - 44 anos,28678
Coimbra,2024,45 - 49 anos,32274
Coimbra,2024,50 - 54 anos,31349
Coimbra,2024,55 - 59 anos,30308
Coimbra,2024,60 - 64 anos,30707
Coimbra,2024,65 - 69 anos,29484
Coimbra,2024,70 - 74 anos,27240
Coimbra,2024,75 - 79 anos,24265
Coimbra,2024,80 - 84 anos,17551
Coimbra,2024,85 e mais anos,20696
Coimbra,2024,Total,436976
Coimbra,2024,0 - 4 anos,14608
Coimbra,2024,5 - 9 anos,17373
Coimbra,2024,10 - 14 anos,18039
Coimbra,2024,15 - 19 anos,19786
Coimbra,2024,20 - 24 anos,23081
Coimbra,2024,25 - 29 anos,23976
Coimbra,2025,30 - 34 anos,23736
Coimbra,2025,35 - 39 anos,24378
Coimbra,2025,40 - 44 anos,28209
Coimbra,2025,45 - 49 anos,31903
Coimbra,2025,50 - 54 anos,31881
Coimbra,2025,55 - 59 anos,30243
Coimbra,2025,60 - 64 anos,30959
Coimbra,2025,65 - 69 anos,29706
Coimbra,2025,70 - 74 anos,27379
Coimbra,2025,75 - 79 anos,24508
Coimbra,2025,80 - 84 anos,18232
Coimbra,2025,85 e mais anos,20971
Coimbra,2025,Total,438242
Coimbra,2025,0 - 4 anos,14327
Coimbra,2025,5 - 9 anos,17050
Coimbra,2025,10 - 14 anos,17955
Coimbra,2025,15 - 19 anos,19649
Coimbra,2025,20 - 24 anos,22703
Coimbra,2025,25 - 29 anos,24453
Faro,2020,30 - 34 anos,25390
Faro,2020,35 - 39 anos,30416
Faro,2020,40 - 44 anos,35135
Faro,2020,45 - 49 anos,36186
Faro,2020,50 - 54 anos,33237
Faro,2020,55 - 59 anos,32848
Faro,2020,60 - 64 anos,32341
