varcd,periodo,ano,mes,geo_cod,geo_dsg,valor,unidade,dim_3,dim_3_t,ind_string,sinal_conv,sinal_conv_desc,concelho,distrito,nivel_geo
0009183,2025,2025,,16D,Região de Aveiro,20003,,ZZ,Outros,20 003,,,Região de Aveiro,,Agregado (NUTS/Continente)
0009183,2025,2025,,2004203,Ponta Delgada,20032,,AT,Áustria,20 032,,,Ponta Delgada,Região Autónoma dos Açores,Município
0009183,2025,2025,,16B1012,Óbidos,20039,,DE,Alemanha,20 039,,,Óbidos,Leiria,Município
0009183,2025,2025,,1851409,Coruche,20042,,PT,Portugal,20 042,,,Coruche,Santarém,Município
0009183,2025,2025,,11E0402,Bragança,20054,,ES,Espanha,20 054,,,Bragança,Bragança,Município
0009183,2025,2025,,1500815,Vila do Bispo,20077,,FR,França,20 077,,,Vila do Bispo,Faro,Município
0009183,2025,2025,,16I1418,Tomar,20096,,US,Estados Unidos da América,20 096,,,Tomar,Santarém,Município
0009183,2025,2025,,1701503,Almada,20103,,US,Estados Unidos da América,20 103,,,Almada,Setúbal,Município
0009183,2025,2025,,16I0509,Sertã,20107,,E,Estrangeiro,20 107,,,Sertã,Castelo Branco,Município
0009183,2025,2025,,1701111,Sintra,20157,,ZZ,Outros,20 157,,,Sintra,Lisboa,Município
0009183,2025,2025,,11A,Área Metropolitana do Porto,20224,,MA,Marrocos,20 224,,,Área Metropolitana do Porto,,Agregado (NUTS/Continente)
0009183,2025,2025,,17,Área Metropolitana de Lisboa,20241,,EE,Estónia,20 241,,,Área Metropolitana de Lisboa,,Agregado (NUTS/Continente)
0009183,2025,2025,,170,Área Metropolitana de Lisboa,20241,,EE,Estónia,20 241,,,Área Metropolitana de Lisboa,,Agregado (NUTS/Continente)
0009183,2025,2025,,1120301,Amares,20279,,E,Estrangeiro,20 279,,,Amares,Braga,Município
0009183,2025,2025,,16F1009,Leiria,20325,,ES,Espanha,20 325,,,Leiria,Leiria,Município
0009183,2025,2025,,3003110,São Vicente,20364,,CZ,Chéquia,20 364,,,São Vicente,Região Autónoma da Madeira,Município
0009183,2025,2025,,1500810,Olhão,20469,,ES,Espanha,20 469,,,Olhão,Faro,Município
0009183,2025,2025,,11C0106,Castelo de Paiva,20475,,PT,Portugal,20 475,,,Castelo de Paiva,Aveiro,Município
0009183,2025,2025,,16J0909,Mêda,20499,,PT,Portugal,20 499,,,Mêda,Guarda,Município
0009183,2025,2025,,1861212,Nisa,20542,,PT,Portugal,20 542,,,Nisa,Portalegre,Município
0009183,2025,2025,,16E0604,Condeixa-a-Nova,20569,,T,Total,20 569,,,Condeixa-a-Nova,Coimbra,Município
0009183,2025,2025,,3,Região Autónoma da Madeira,20584,,EE,Estónia,20 584,,,Região Autónoma da Madeira,,Agregado (NUTS/Continente)
0009183,2025,2025,,30,Região Autónoma da Madeira,20584,,EE,Estónia,20 584,,,Região Autónoma da Madeira,,Agregado (NUTS/Continente)
0009183,2025,2025,,300,Região Autónoma da Madeira,20584,,EE,Estónia,20 584,,,Região Autónoma da Madeira,,Agregado (NUTS/Continente)
0009183,2025,2025,,1840214,Vidigueira,20613,,T,Total,20 613,,,Vidigueira,Beja,Município
0009183,2025,2025,,15,Algarve,20715,,RU,Federação da Rússia,20 715,,,Algarve,,Agregado (NUTS/Continente)
0009183,2025,2025,,150,Algarve,20715,,RU,Federação da Rússia,20 715,,,Algarve,,Agregado (NUTS/Continente)
0009183,2025,2025,,16J,Beiras e Serra da Estrela,20736,,FR,França,20 736,,,Beiras e Serra da Estrela,,Agregado (NUTS/Continente)
0009183,2025,2025,,11A,Área Metropolitana do Porto,20754,,AO,Angola,20 754,,,Área Metropolitana do Porto,,Agregado (NUTS/Continente)
